arm_id,invalid_trials,scenario_id,scenario_level_mrr,scenario_top1_rate,scenario_top2_rate,scenario_top4_rate,scenario_type,scheduled_trials,valid_positive_trials,valid_trials
deterministic_enriched,0,ow14-s0135,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0136,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0137,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0138,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0139,0.25,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0140,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0141,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0142,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0143,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0144,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0145,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0146,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0147,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0148,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0149,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0150,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0151,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0152,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0153,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0154,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0155,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0156,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0157,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0158,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0159,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0160,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0161,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0162,0.3333333333333333,0.0,0.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0163,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0164,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0165,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0166,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0167,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0168,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0169,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0170,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0171,0.5,0.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0172,1.0,1.0,1.0,1.0,positive,1,1,1
deterministic_enriched,0,ow14-s0173,1.0,1.0,1.0,1.0,positive,1,1,1
