arm_id,scenario_id,trial_number,scenario_has_vulnerability,ranking_valid,schema_invalid,provider_failed,runtime_failed,candidate_count,test_budget,top_k,tested_candidate_count,verified_finding_id,verified_finding_present,trial_start_timestamp,trial_start_source,first_verified_finding_timestamp,time_to_first_verified_finding_ms,requests_to_first_verified_finding,browser_navigations_to_first_verified_finding,candidates_tested_before_first_verification,timing_availability,cost_per_verified_finding_usd,notes
local_qwen,x13-008,5,True,True,False,False,False,6,4,4,3,finding-869093296388,True,2026-08-08T13:14:14.043486+00:00,provider_or_action_timestamp,2026-08-08T13:14:14.615535+00:00,572,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-009,1,True,True,False,False,False,4,4,4,3,finding-b909172e5801,True,2026-08-08T10:58:15.622832+00:00,provider_or_action_timestamp,2026-08-08T10:58:16.107475+00:00,485,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-009,2,True,True,False,False,False,4,4,4,3,finding-81e620fb7f85,True,2026-08-08T11:32:32.116337+00:00,provider_or_action_timestamp,2026-08-08T11:32:32.592722+00:00,476,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-009,3,True,True,False,False,False,4,4,4,3,finding-08714952b418,True,2026-08-08T12:06:41.071168+00:00,provider_or_action_timestamp,2026-08-08T12:06:41.577580+00:00,506,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-009,4,True,True,False,False,False,4,4,4,3,finding-120065a52e58,True,2026-08-08T12:40:52.530971+00:00,provider_or_action_timestamp,2026-08-08T12:40:52.995908+00:00,465,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-009,5,True,True,False,False,False,4,4,4,3,finding-0333662103a1,True,2026-08-08T13:15:04.281604+00:00,provider_or_action_timestamp,2026-08-08T13:15:04.764940+00:00,483,6,6,3,available,not_available,derived_from_retained_timestamps
local_qwen,x13-010,1,True,True,False,False,False,7,4,4,1,finding-48845999d54b,True,2026-08-08T10:59:51.778306+00:00,provider_or_action_timestamp,2026-08-08T10:59:51.971297+00:00,193,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-010,2,True,True,False,False,False,7,4,4,1,finding-eae22327d574,True,2026-08-08T11:34:08.652742+00:00,provider_or_action_timestamp,2026-08-08T11:34:08.822297+00:00,170,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-010,3,True,True,False,False,False,7,4,4,1,finding-50d469439a19,True,2026-08-08T12:08:20.416541+00:00,provider_or_action_timestamp,2026-08-08T12:08:20.573632+00:00,157,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-010,4,True,True,False,False,False,7,4,4,1,finding-1f6588658a47,True,2026-08-08T12:42:28.982598+00:00,provider_or_action_timestamp,2026-08-08T12:42:29.174393+00:00,192,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-010,5,True,True,False,False,False,7,4,4,1,finding-251a8676cbca,True,2026-08-08T13:16:40.043839+00:00,provider_or_action_timestamp,2026-08-08T13:16:40.225191+00:00,181,2,2,1,available,not_available,derived_from_retained_timestamps
local_qwen,x13-011,1,True,True,False,False,False,6,4,4,4,,False,2026-08-08T11:01:14.087901+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-011,2,True,True,False,False,False,6,4,4,4,,False,2026-08-08T11:35:29.346300+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-011,3,True,True,False,False,False,6,4,4,4,,False,2026-08-08T12:09:41.148557+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-011,4,True,True,False,False,False,6,4,4,4,,False,2026-08-08T12:43:49.685904+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-011,5,True,True,False,False,False,6,4,4,4,,False,2026-08-08T13:18:02.291767+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
local_qwen,x13-012,1,True,True,False,False,False,8,4,4,4,,False,2026-08-08T11:03:17.441039+00:00,provider_or_action_timestamp,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_available,negative_or_no_verified_finding
