arm_id,contract_valid_rows,mean_reciprocal_rank,rows,scenario_id,scenario_type,top1_rate,topk_rate
deterministic_structural,1,0.25,1,ow14-s0209,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0210,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0211,positive,0.0,0.0
deterministic_structural,1,0.2,1,ow14-s0212,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0213,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0214,positive,0.0,0.0
deterministic_structural,1,0.5,1,ow14-s0215,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0216,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0217,positive,1.0,1.0
deterministic_structural,1,0.25,1,ow14-s0218,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0219,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0220,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0221,positive,0.0,0.0
deterministic_structural,1,0.25,1,ow14-s0222,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0223,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0224,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0225,positive,1.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0226,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0227,positive,0.0,0.0
deterministic_structural,1,0.25,1,ow14-s0228,positive,0.0,1.0
deterministic_structural,1,1.0,1,ow14-s0229,positive,1.0,1.0
deterministic_structural,1,0.5,1,ow14-s0230,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0231,positive,0.0,1.0
deterministic_structural,1,0.5,1,ow14-s0232,positive,0.0,1.0
deterministic_structural,1,0.25,1,ow14-s0233,positive,0.0,1.0
deterministic_structural,1,0.3333333333333333,1,ow14-s0234,positive,0.0,1.0
deterministic_structural,1,0.2,1,ow14-s0235,positive,0.0,0.0
deterministic_structural,1,1.0,1,ow14-s0236,positive,1.0,1.0
deterministic_structural,1,not_applicable,1,ow14-s0237,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0238,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0239,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0240,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0241,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0242,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0243,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0244,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0245,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0246,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0247,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0248,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0249,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0250,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0251,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0252,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0253,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0254,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0255,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0256,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0257,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0258,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0259,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0260,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0261,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0262,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0263,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0264,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0265,negative_only,not_applicable,not_applicable
deterministic_structural,1,not_applicable,1,ow14-s0266,negative_only,not_applicable,not_applicable
proprietary_gpt,5,1.0,5,ow14-s0001,positive,1.0,1.0
proprietary_gpt,5,0.32,5,ow14-s0002,positive,0.0,0.4
proprietary_gpt,5,0.5,5,ow14-s0003,positive,0.0,1.0
proprietary_gpt,5,0.6,5,ow14-s0004,positive,0.2,1.0
proprietary_gpt,5,0.35,5,ow14-s0005,positive,0.0,1.0
proprietary_gpt,5,0.5,5,ow14-s0006,positive,0.0,1.0
proprietary_gpt,5,0.2633333333333333,5,ow14-s0007,positive,0.0,0.6
proprietary_gpt,5,0.2,5,ow14-s0008,positive,0.0,0.0
proprietary_gpt,5,0.3,5,ow14-s0009,positive,0.0,1.0
proprietary_gpt,5,0.35,5,ow14-s0010,positive,0.0,1.0
proprietary_gpt,5,0.31666666666666665,5,ow14-s0011,positive,0.0,1.0
proprietary_gpt,5,0.7333333333333333,5,ow14-s0012,positive,0.6,1.0
proprietary_gpt,5,0.3,5,ow14-s0013,positive,0.0,1.0
proprietary_gpt,5,0.3333333333333333,5,ow14-s0014,positive,0.0,1.0
proprietary_gpt,5,0.8666666666666667,5,ow14-s0015,positive,0.8,1.0
proprietary_gpt,5,0.75,5,ow14-s0016,positive,0.6,1.0
proprietary_gpt,5,0.3333333333333333,5,ow14-s0017,positive,0.0,1.0
proprietary_gpt,5,0.2833333333333333,5,ow14-s0018,positive,0.0,1.0
proprietary_gpt,5,0.6,5,ow14-s0019,positive,0.2,1.0
proprietary_gpt,5,1.0,5,ow14-s0020,positive,1.0,1.0
proprietary_gpt,5,0.31666666666666665,5,ow14-s0021,positive,0.0,1.0
proprietary_gpt,5,0.55,5,ow14-s0022,positive,0.2,1.0
proprietary_gpt,5,0.45,5,ow14-s0023,positive,0.0,1.0
proprietary_gpt,5,0.3333333333333333,5,ow14-s0024,positive,0.0,1.0
proprietary_gpt,5,0.2,5,ow14-s0025,positive,0.0,0.0
proprietary_gpt,5,0.3,5,ow14-s0026,positive,0.0,1.0
proprietary_gpt,5,0.3,5,ow14-s0027,positive,0.0,1.0
proprietary_gpt,5,1.0,5,ow14-s0028,positive,1.0,1.0
proprietary_gpt,5,0.29,5,ow14-s0029,positive,0.0,0.8
proprietary_gpt,5,0.2,5,ow14-s0030,positive,0.0,0.0
proprietary_gpt,5,0.39999999999999997,5,ow14-s0031,positive,0.0,1.0
proprietary_gpt,5,0.74,5,ow14-s0032,positive,0.6,0.8
proprietary_gpt,5,1.0,5,ow14-s0033,positive,1.0,1.0
proprietary_gpt,5,0.2,5,ow14-s0034,positive,0.0,0.0
proprietary_gpt,5,0.25,5,ow14-s0035,positive,0.0,1.0
proprietary_gpt,5,0.84,5,ow14-s0036,positive,0.8,0.8
proprietary_gpt,5,0.31666666666666665,5,ow14-s0037,positive,0.0,1.0
proprietary_gpt,5,0.2,5,ow14-s0038,positive,0.0,0.0
proprietary_gpt,5,0.2,5,ow14-s0039,positive,0.0,0.0
proprietary_gpt,5,0.7666666666666666,5,ow14-s0040,positive,0.6,1.0
proprietary_gpt,5,0.5,5,ow14-s0041,positive,0.0,1.0
proprietary_gpt,5,0.37333333333333335,5,ow14-s0042,positive,0.0,0.8
proprietary_gpt,5,0.45,5,ow14-s0043,positive,0.0,1.0
proprietary_gpt,5,1.0,5,ow14-s0044,positive,1.0,1.0
proprietary_gpt,5,0.2,5,ow14-s0045,positive,0.0,0.0
proprietary_gpt,5,0.5,5,ow14-s0046,positive,0.0,1.0
proprietary_gpt,5,1.0,5,ow14-s0047,positive,1.0,1.0
proprietary_gpt,5,0.26,5,ow14-s0048,positive,0.0,0.2
proprietary_gpt,5,0.25,5,ow14-s0049,positive,0.0,1.0
proprietary_gpt,5,0.32,5,ow14-s0050,positive,0.0,0.4
proprietary_gpt,5,0.52,5,ow14-s0051,positive,0.4,0.4
proprietary_gpt,5,1.0,5,ow14-s0052,positive,1.0,1.0
proprietary_gpt,5,1.0,5,ow14-s0053,positive,1.0,1.0
proprietary_gpt,5,0.9,5,ow14-s0054,positive,0.8,1.0
proprietary_gpt,5,0.3333333333333333,5,ow14-s0055,positive,0.0,1.0
